Gender,Money,Recency,Frequency,Age,cat_Children,cat_Teen,cat_Cooking,cat_DIY,cat_Reference,cat_Art,Purchase_Secret_of_Italian_k,Purchase_Atlas_of_Italy,Purchase_Italian_Art,Buy
M,357,30,10,50,3,2,2,0,1,0,0,0,0,0
M,138,28,3,40,0,1,0,1,0,0,0,0,0,0
F,172,16,2,20,0,0,2,0,0,0,0,0,0,0
F,272,8,1,8,0,0,0,0,1,0,0,0,0,0
F,149,16,1,16,0,0,1,0,0,0,0,0,0,0
F,113,8,1,8,0,1,0,0,0,0,0,0,0,1
M,15,26,1,26,0,0,0,1,0,0,0,0,0,0
F,238,2,11,42,2,1,2,3,0,0,1,0,0,0
F,418,6,11,66,0,2,3,2,0,3,0,0,0,1
F,123,12,1,12,0,1,0,0,0,0,0,0,0,0
F,294,6,2,8,0,1,1,0,0,0,0,0,0,0
F,173,14,2,16,0,1,0,0,1,0,0,0,0,0
F,226,14,1,14,0,0,0,1,0,0,0,0,0,0
M,288,6,3,18,0,0,2,0,1,0,1,0,0,0
M,15,26,1,26,0,0,1,0,0,0,0,0,0,0
F,134,2,2,6,2,0,0,0,0,0,0,0,0,0
F,176,8,3,20,0,0,2,0,0,0,1,0,0,0
M,447,8,12,34,4,0,6,0,0,2,0,0,0,0
F,207,12,2,18,0,0,1,1,0,0,0,0,0,0
F,301,12,2,14,0,1,1,0,0,0,0,0,0,0
M,202,10,2,16,0,1,1,0,0,0,0,0,0,0
F,87,16,1,16,0,0,0,0,1,0,0,0,0,0
M,388,24,9,56,2,0,3,1,1,1,1,0,1,0
F,114,2,2,6,0,0,0,0,0,1,0,0,0,0
F,297,14,2,22,0,1,1,0,0,0,0,0,0,0
F,29,16,1,16,1,0,0,0,0,0,0,0,0,0
M,325,12,7,26,1,0,2,2,0,1,1,0,1,0
F,211,14,12,68,2,0,6,1,1,0,1,0,0,0
M,128,8,2,10,0,1,0,0,0,1,0,0,0,0
F,240,14,1,14,1,0,0,0,0,0,0,0,0,0
F,203,28,12,62,3,0,3,4,0,0,0,0,0,0
F,295,8,9,60,2,0,1,0,1,1,0,0,0,0
F,254,16,1,16,1,0,0,0,0,0,0,0,0,0
F,350,4,9,28,3,0,4,0,0,2,0,0,0,0
